Group 1 on team 0 has 4647 units each with 7816 hp.  Does 48 fire damage.
Group 2 on team 0 has 301 units each with 3152 hp.  Does 139 fire damage.
Group 3 on team 0 has 1508 units each with 8344 hp.  Does 85 cold damage.
Group 4 on team 0 has 2956 units each with 5021 hp.  Does 48 slashing damage.
Group 5 on team 0 has 898 units each with 11545 hp.  Does 135 cold damage.
Group 6 on team 0 has 207 units each with 6235 hp.  Does 277 slashing damage.
Group 7 on team 0 has 7550 units each with 8773 hp.  Does 46 radiation damage.
Group 8 on team 0 has 1057 units each with 3791 hp.  Does 62 bludgeoning damage.
Group 9 on team 0 has 5086 units each with 3281 hp.  Does 40 cold damage.
Group 10 on team 0 has 330 units each with 4136 hp.  Does 126 cold damage.
Group 11 on team 1 has 1755 units each with 6886 hp.  Does 6 fire damage.
Group 12 on team 1 has 2251 units each with 33109 hp.  Does 29 cold damage.
Group 13 on team 1 has 298 units each with 18689 hp.  Does 123 slashing damage.
Group 14 on team 1 has 312 units each with 15735 hp.  Does 99 cold damage.
Group 15 on team 1 has 326 units each with 16400 hp.  Does 98 radiation damage.
Group 16 on team 1 has 4365 units each with 54947 hp.  Does 22 cold damage.
Group 17 on team 1 has 1446 units each with 51571 hp.  Does 63 fire damage.
Group 18 on team 1 has 8230 units each with 12331 hp.  Does 2 fire damage.
Group 19 on team 1 has 4111 units each with 17381 hp.  Does 7 cold damage.
Group 20 on team 1 has 366 units each with 28071 hp.  Does 150 fire damage.

Round 1 beginning.
Group 15 on team 1 did 31948 radiation damage to group 9 on team 0, killing 9.000000 units.
Group 18 on team 1 did 6152 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 84410 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 3381 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4872 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 907 beginning.
Group 16 on team 1 did 37202 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 6142 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 84226 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 3360 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4843 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 908 beginning.
Group 16 on team 1 did 37180 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 6132 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 84042 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 3339 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4814 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 909 beginning.
Group 16 on team 1 did 37158 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 6122 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 83858 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 3318 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4785 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 910 beginning.
Group 16 on team 1 did 37136 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 6112 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 83674 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 3297 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4756 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 911 beginning.
Group 16 on team 1 did 37114 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 6102 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 83490 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 3276 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4727 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 912 beginning.
Group 16 on team 1 did 37092 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 6092 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 83306 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 3255 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4698 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 913 beginning.
Group 16 on team 1 did 37070 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 6082 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 83122 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 3234 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4669 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 914 beginning.
Group 16 on team 1 did 37048 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 6072 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 82938 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 3213 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4640 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 915 beginning.
Group 16 on team 1 did 37026 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 6062 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 82754 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 3192 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4611 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 916 beginning.
Group 16 on team 1 did 37004 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 6052 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 82570 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 3171 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4582 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 917 beginning.
Group 16 on team 1 did 36982 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 6042 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 82386 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 3150 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4553 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 918 beginning.
Group 16 on team 1 did 36960 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 6032 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 82202 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 3129 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4524 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 919 beginning.
Group 16 on team 1 did 36938 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 6022 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 82018 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 3108 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4495 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 920 beginning.
Group 16 on team 1 did 36916 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 6012 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 81834 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 3087 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4466 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 921 beginning.
Group 16 on team 1 did 36894 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 6002 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 81650 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 3066 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4437 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 922 beginning.
Group 16 on team 1 did 36872 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5992 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 81466 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 3045 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4408 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 923 beginning.
Group 16 on team 1 did 36850 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5982 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 81282 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 3024 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4379 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 924 beginning.
Group 16 on team 1 did 36828 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5972 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 81098 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 3003 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4350 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 925 beginning.
Group 16 on team 1 did 36806 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5962 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 80914 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2982 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4321 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 926 beginning.
Group 16 on team 1 did 36784 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5952 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 80730 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2961 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4292 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 927 beginning.
Group 16 on team 1 did 36762 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5942 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 80546 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2940 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4263 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 928 beginning.
Group 16 on team 1 did 36740 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5932 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 80362 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2919 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4234 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 929 beginning.
Group 16 on team 1 did 36718 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5922 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 80178 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2898 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4205 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 930 beginning.
Group 16 on team 1 did 36696 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5912 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 79994 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2877 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4176 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 931 beginning.
Group 16 on team 1 did 36674 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5902 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 79810 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2856 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4147 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 932 beginning.
Group 16 on team 1 did 36652 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5892 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 79626 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2835 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4118 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 933 beginning.
Group 16 on team 1 did 36630 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5882 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 79442 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2814 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4089 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 934 beginning.
Group 16 on team 1 did 36608 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5872 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 79258 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2793 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4060 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 935 beginning.
Group 16 on team 1 did 36586 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5862 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 79074 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2772 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4031 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 936 beginning.
Group 16 on team 1 did 36564 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5852 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 78890 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2751 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 4002 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 937 beginning.
Group 16 on team 1 did 36542 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5842 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 78706 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2730 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 3973 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 938 beginning.
Group 16 on team 1 did 36520 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5832 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 78522 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2709 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 3944 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 939 beginning.
Group 16 on team 1 did 36498 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5822 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 78338 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2688 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 3915 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 940 beginning.
Group 16 on team 1 did 36476 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5812 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 78154 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2667 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 3886 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 941 beginning.
Group 16 on team 1 did 36454 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5802 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 77970 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2646 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 3857 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 942 beginning.
Group 16 on team 1 did 36432 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5792 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 77786 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2625 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 3828 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 943 beginning.
Group 16 on team 1 did 36410 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5782 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 77602 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2604 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 3799 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 944 beginning.
Group 16 on team 1 did 36388 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5772 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 77418 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2583 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 3770 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
Group 1 on team 0 did 63984 fire damage to group 18 on team 1, killing 5.000000 units.

Round 945 beginning.
Group 16 on team 1 did 36366 cold damage to group 7 on team 0, killing 4.000000 units.
Group 18 on team 1 did 5762 fire damage to group 1 on team 0, killing 0.000000 units.
Group 7 on team 0 did 77234 radiation damage to group 16 on team 1, killing 1.000000 units.
Group 19 on team 1 did 2562 cold damage to group 3 on team 0, killing 0.000000 units.
Group 3 on team 0 did 56440 cold damage to group 19 on team 1, killing 3.000000 units.
Group 12 on team 1 did 3741 cold damage to group 5 on team 0, killing 0.000000 units.
Group 5 on team 0 did 60075 cold damage to group 12 on team 1, killing 1.000000 units.
